ID,Nome,Idade,Gênero,RendaMensal,ScoreCredito,ComprasAnuais,DataCadastro
42,Cliente_42,54,Masculino,3434.79,707,12,2021-05-15
43,Cliente_43,68,Masculino,3022.48,824,9,2021-06-14
44,Cliente_44,24,Masculino,2042.33,805,7,2021-07-14
45,Cliente_45,38,Masculino,3631.74,335,9,2021-08-13
46,Cliente_46,26,Masculino,3345.19,319,9,2021-09-12
47,Cliente_47,56,Masculino,2122.6,620,12,2021-10-12
48,Cliente_48,35,Feminino,2454.16,811,13,2021-11-11
49,Cliente_49,21,Masculino,3710.01,699,12,2021-12-11
50,Cliente_50,42,Masculino,3484.39,770,9,2022-01-10
51,Cliente_51,31,Masculino,2423.76,442,5,2022-02-09
52,Cliente_52,67,Feminino,2784.05,391,9,2022-03-11
53,Cliente_53,26,Masculino,2885.23,653,8,2022-04-10
54,Cliente_54,43,Masculino,3493.6,350,7,2022-05-10
55,Cliente_55,19,Feminino,3999.15,489,4,2022-06-09
56,Cliente_56,37,Masculino,3052.52,424,7,2022-07-09
57,Cliente_57,45,Masculino,3935.37,449,9,2022-08-08
58,Cliente_58,64,Masculino,3698.65,613,5,2022-09-07
59,Cliente_59,24,Masculino,3164.52,641,6,2022-10-07
60,Cliente_60,61,Masculino,1845.21,604,9,2022-11-06
61,Cliente_61,25,Feminino,2177.83,353,8,2022-12-06
62,Cliente_62,64,Feminino,3592.99,743,7,2023-01-05
63,Cliente_63,52,Feminino,1631.58,563,9,2023-02-04
64,Cliente_64,31,Masculino,3095.18,352,8,2023-03-06
65,Cliente_65,34,Masculino,3800.39,304,9,2023-04-05
66,Cliente_66,53,Masculino,3121.94,402,15,2023-05-05
67,Cliente_67,67,Feminino,2518.88,495,14,2023-06-04
68,Cliente_68,57,Masculino,2322.71,649,6,2023-07-04
69,Cliente_69,21,Masculino,3652.92,346,13,2023-08-03
70,Cliente_70,19,Feminino,3377.37,568,12,2023-09-02
71,Cliente_71,23,Masculino,2771.61,669,13,2023-10-02
72,Cliente_72,59,Feminino,3852.23,405,4,2023-11-01
73,Cliente_73,21,Feminino,3683.2,419,6,2023-12-01
74,Cliente_74,46,Feminino,4430.88,357,10,2023-12-31
75,Cliente_75,35,Masculino,3453.52,645,15,2024-01-30
76,Cliente_76,43,Masculino,2868.4,773,12,2024-02-29
77,Cliente_77,61,Masculino,2885.61,416,9,2024-03-30
78,Cliente_78,51,Masculino,1452.34,426,7,2024-04-29
79,Cliente_79,27,Masculino,3120.53,692,8,2024-05-29
80,Cliente_80,53,Masculino,2987.43,357,14,2024-06-28
81,Cliente_81,31,Masculino,1935.94,812,3,2024-07-28
82,Cliente_82,48,Feminino,2979.77,395,10,2024-08-27
83,Cliente_83,65,Masculino,4074.53,417,8,2024-09-26
84,Cliente_84,32,Feminino,2412.36,787,19,2024-10-26
85,Cliente_85,25,Masculino,2232.08,536,13,2024-11-25
86,Cliente_86,31,Masculino,3883.94,571,10,2024-12-25
87,Cliente_87,40,Masculino,3507.39,488,13,2025-01-24
88,Cliente_88,57,Feminino,5448.88,746,11,2025-02-23
89,Cliente_89,38,Feminino,1945.14,546,10,2025-03-25
90,Cliente_90,33,Feminino,3576.31,375,12,2025-04-24
91,Cliente_91,62,Feminino,3252.71,453,9,2025-05-24
92,Cliente_92,35,Masculino,3047.43,734,8,2025-06-23
93,Cliente_93,64,Feminino,3728.41,385,10,2025-07-23
94,Cliente_94,41,Masculino,2976.22,584,13,2025-08-22
95,Cliente_95,43,Masculino,1450.9,519,8,2025-09-21
96,Cliente_96,42,Feminino,2322.11,368,11,2025-10-21
97,Cliente_97,62,Feminino,4091.55,346,10,2025-11-20
98,Cliente_98,58,Feminino,3937.62,393,11,2025-12-20
99,Cliente_99,46,Feminino,2701.5,752,12,2026-01-19
100,Cliente_100,32,Feminino,3402.88,503,12,2026-02-18
